level,pollutant,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,total_erv,ab_erv_mean,ab_erv_lower,ab_erv_upper,paf
Mexico,NO2,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,28568,567.44,317.77,808.34,0.0199
Mexico,NO2,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,47305,652.08,377.19,920.37,0.0138
Mexico,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,264191,3663.34,594.94,6389.74,0.0139
Mexico,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,264191,4770.64,594.94,8644.12,0.0181
Mexico,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,264191,4770.64,594.94,8644.12,0.0181
Mexico,NO2,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,28568,566.74,317.37,807.37,0.0198
Mexico,NO2,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,47305,650.71,376.4,918.46,0.0138
Mexico,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,264191,3657.35,593.95,6379.49,0.0138
Mexico,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,264191,4762.9,593.95,8630.5,0.018
Mexico,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,264191,4762.9,593.95,8630.5,0.018
Mexico,O3,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,28568,2328.92,537.88,4213.46,0.0815
Mexico,O3,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,47305,3455.03,2195.37,4673.5,0.073
Mexico,O3,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,28470,2341.86,541.02,4235.6,0.0823
Mexico,O3,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,47142,3474.01,2207.68,4698.63,0.0737
Mexico,PM25,no_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,47305,2449.56,1518.59,3437.35,0.0518
Mexico,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,264191,8741.21,2570.45,14855.63,0.0331
Mexico,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,264191,13431.95,3203.69,23005.38,0.0508
Mexico,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,264191,11405.5,324.63,22219.34,0.0432
Mexico,PM25,with_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,47305,2451.79,1520.04,3440.29,0.0518
Mexico,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,264191,8750.67,2573.4,14870.75,0.0331
Mexico,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,264191,13445.82,3207.35,23026.81,0.0509
Mexico,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,264191,11417.53,325.01,22240.23,0.0432
